Time,Inv 1 AC-Leistung (W)
18.02.2021,4139.6338W
19.02.2021,3315.0903W
20.02.2021,3672.8359W
21.02.2021,1102.7727W
22.02.2021,4075.8308W
23.02.2021,3801.9482W
24.02.2021,3319.5474W
25.02.2021,3611.9927W
26.02.2021,4078.6233W
27.02.2021,4026.554W
28.02.2021,4408.2734W
01.03.2021,4305.688W
02.03.2021,4409.9502W
03.03.2021,4219.3213W
04.03.2021,1940.4316W
05.03.2021,1851.8248W
06.03.2021,4613.2432W
07.03.2021,4595.373W
08.03.2021,3388.3901W
09.03.2021,1228.7676W
10.03.2021,2480.8428W
11.03.2021,1102.4653W
12.03.2021,3019.1328W
13.03.2021,3111.7688W
14.03.2021,398.0142W
15.03.2021,3801.4082W
16.03.2021,3513.6846W
17.03.2021,3665.2954W
18.03.2021,2301.7666W
19.03.2021,3000.592W
20.03.2021,613.3586W
21.03.2021,1152.6345W
22.03.2021,3622.9805W
23.03.2021,3318.8694W
24.03.2021,4590.1621W
25.03.2021,4469.5259W
26.03.2021,4353.6025W
27.03.2021,3870.9934W
28.03.2021,1680.4204W
29.03.2021,3591.4646W
30.03.2021,4201.9175W
31.03.2021,4305.1636W
01.04.2021,4075.2913W
02.04.2021,1800.5477W
03.04.2021,3327.0505W
04.04.2021,3559.5962W
05.04.2021,4171.4844W
06.04.2021,1973.7925W
07.04.2021,2559.2666W
08.04.2021,3518.9753W
09.04.2021,4427.6909W
10.04.2021,3456.7439W
11.04.2021,2428.7976W
12.04.2021,1794.7222W
13.04.2021,674.0671W
14.04.2021,3363.4492W
15.04.2021,3382.0W
16.04.2021,4055.8511W
17.04.2021,2374.9277W
18.04.2021,1087.0123W
19.04.2021,1436.8225W
20.04.2021,2543.8362W
21.04.2021,3267.3896W
22.04.2021,2784.3872W
23.04.2021,4392.2344W
24.04.2021,4276.8564W
25.04.2021,2761.1658W
26.04.2021,1110.5909W
27.04.2021,468.8057W
28.04.2021,1326.1578W
29.04.2021,3583.2146W
30.04.2021,1481.954W
01.05.2021,3358.5593W
02.05.2021,1739.5739W
03.05.2021,2652.0056W
04.05.2021,3885.7666W
05.05.2021,2813.9214W
06.05.2021,1518.0837W
07.05.2021,734.8033W
08.05.2021,4274.1265W
09.05.2021,4131.6611W
10.05.2021,3812.1086W
11.05.2021,3889.5869W
12.05.2021,1196.4254W
13.05.2021,2054.0327W
14.05.2021,2481.1055W
15.05.2021,2162.3169W
