Time,Inv 1 AC-Leistung (W)
2021-06-23,3477.6924W
2021-06-24,3443.0W
2021-06-25,1754.6129W
2021-06-26,2793.75W
2021-06-27,3512.7917W
2021-06-28,3478.665W
2021-06-29,3057.6392W
2021-06-30,2692.8401W
2021-07-01,2028.1589W
2021-07-02,1784.5103W
2021-07-03,3731.8499W
2021-07-04,1565.6083W
2021-07-05,2539.2512W
2021-07-06,3652.9331W
2021-07-07,3443.114W
2021-07-08,3154.9226W
2021-07-09,3077.6855W
2021-07-10,3693.4561W
2021-07-11,3092.8481W
2021-07-12,2509.4507W
2021-07-13,2974.0806W
2021-07-14,3188.0635W
2021-07-15,2727.9841W
2021-07-16,1830.0881W
2021-07-17,1030.2957W
2021-07-18,1547.6787W
2021-07-19,3416.3069W
2021-07-20,3212.1702W
2021-07-21,3437.4043W
2021-07-22,3648.6772W
2021-07-23,3205.6914W
2021-07-24,3156.2461W
2021-07-25,3402.946W
2021-07-26,2945.8655W
2021-07-27,2279.2312W
2021-07-28,3138.8171W
2021-07-29,3753.5054W
2021-07-30,3143.5454W
2021-07-31,2524.5549W
2021-08-01,1008.7W
2021-08-02,2414.8176W
2021-08-03,3206.9282W
2021-08-04,1007.5251W
2021-08-05,1445.6548W
2021-08-06,2981.7166W
2021-08-07,3640.0559W
2021-08-08,848.0278W
2021-08-09,3279.3167W
2021-08-10,3817.6235W
2021-08-11,3525.9607W
2021-08-12,3615.7246W
2021-08-13,3099.8938W
2021-08-14,3206.2671W
2021-08-15,2255.0571W
2021-08-16,2346.5349W
2021-08-17,3434.8555W
2021-08-18,3579.4883W
2021-08-19,3030.4885W
2021-08-20,3687.9414W
2021-08-21,3818.6128W
2021-08-22,2656.5178W
2021-08-23,1687.8024W
2021-08-24,3107.1785W
2021-08-25,4020.8999W
2021-08-26,1693.1428W
2021-08-27,2681.7515W
2021-08-28,2317.5706W
2021-08-29,3374.0W
2021-08-30,1581.6145W
2021-08-31,2501.9404W
2021-09-01,3617.3879W
2021-09-02,3676.4634W
2021-09-03,3538.1091W
2021-09-04,4136.7319W
2021-09-05,3747.3496W
2021-09-06,4029.1829W
2021-09-07,2801.1738W
2021-09-08,3735.6504W
2021-09-09,4136.8325W
2021-09-10,4153.3374W
2021-09-11,4015.6438W
2021-09-12,2914.019W
2021-09-13,3473.9873W
2021-09-14,3447.282W
2021-09-15,3499.5806W
2021-09-16,1598.3182W
2021-09-17,1767.875W
2021-09-18,3040.3333W
2021-09-19,2198.9526W
2021-09-20,626.4865W
2021-09-21,1791.9673W
2021-09-22,2406.9194W
2021-09-23,4175.1963W
2021-09-24,4170.2886W
2021-09-25,4078.6755W
2021-09-26,3961.9731W
2021-09-27,914.9225W
2021-09-28,3454.2417W
2021-09-29,1490.162W
2021-09-30,2333.2378W
2021-10-01,4042.8445W
2021-10-02,2614.6943W
2021-10-03,4026.0W
2021-10-04,4049.7568W
2021-10-05,2836.1538W
2021-10-06,745.9641W
2021-10-07,281.9243W
2021-10-08,500.0292W
2021-10-09,3070.6809W
2021-10-10,342.3577W
2021-10-11,2254.0667W
2021-10-12,781.3696W
2021-10-13,3656.3984W
2021-10-14,2344.5334W
2021-10-15,3910.0803W
2021-10-16,1387.7852W
2021-10-17,3999.0369W
2021-10-18,2481.9563W
2021-10-19,3301.8044W
2021-10-20,3722.3806W
2021-10-21,2291.9607W
2021-10-22,2431.7634W
2021-10-23,3994.4702W
2021-10-24,1653.061W
2021-10-25,3837.0764W
2021-10-26,1016.3409W
